case,fold,filename,iou,n_polygons,call_seconds,error,notes
CB:75:00001:ART4,3,CB_75_00001_ART4.png,0.5113517687021293,1,14.64,"","A thick black solid outline defining the boundary of a built-up area on a detailed OS map."
CB:82:00001:ART4,4,CB_82_00001_ART4.png,0.7956972674437274,1,2.71,"","A single polygon tracing the hatched site area outlined in a dark solid line at the rear of Sandhouse Inn."
CPA4(1a),0,CPA4_1a_.png,0.457777652111353,1,2.53,"","A solid black rectangular boundary enclosing properties 1-25 Florence Gardens as indicated in the conservation area titl"
CPA4(2a),1,CPA4_2a_.png,0.4890093861690401,1,4.69,"","Thick black solid outline defining the South Benfleet Conservation Area boundary as shown in the designation map."
CPA4(3a),2,CPA4_3a_.png,0.4143020642495956,1,6.0,"","A thick red solid boundary line enclosing a large wooded area labeled Coombe Wood, following property lines to the north"
CPA4(4a),3,CPA4_4a_.png,0.9521981231260465,1,2.67,"","A solid red outline defining a rectangular plot of land situated east of the Graveyard and west of Kingston Primary Scho"
D9176429-F30F-4638-A67E-3B87E7ED603D,4,D9176429-F30F-4638-A67E-3B87E7ED603D.png,0.9749692174109267,1,2.37,"","Red cross-hatched boundary region located north of Moon Hill Bungalow and Chrysler."
D93BF228-6271-4271-A085-9DAB7155FC66,0,D93BF228-6271-4271-A085-9DAB7155FC66.png,0.04116487607011345,2,5.95,"","I have traced the red-outlined, cross-hatched boundary denoting the Area of Article 4 Direction, which consists of a nar"
DE5A30DA-29A4-45BE-B60A-C201A5F11C6F,0,DE5A30DA-29A4-45BE-B60A-C201A5F11C6F.png,0.2533290160683207,1,4.15,"","A single pink filled polygon representing the Article 4 direction land at Droveway Gardens."
DEEADDA2-0FC2-422B-B738-F5D274549610,1,DEEADDA2-0FC2-422B-B738-F5D274549610.png,0.05594111393734372,1,3.32,"","Red solid outline marking the site boundary at Dover SPS Border Control Post, including the curved entrance at the end o"
E6369A1B-AA37-4B67-AF76-3BC17E3A5885,2,E6369A1B-AA37-4B67-AF76-3BC17E3A5885.png,0.5694139958448675,1,3.74,"","I have traced the thick solid black boundary defining the Former Royal Marines Sports Ground field as indicated for the "
ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047,3,ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047.png,0.9562317996505533,1,2.41,"","Red solid fill area within Limekiln Wood labelling field 316."
F9A7310C-0DDD-469E-B34D-C270A186070F,4,F9A7310C-0DDD-469E-B34D-C270A186070F.png,0.4028869870692877,1,6.18,"","A red solid outline containing a stippled pattern defining the Nelson Street Conservation Area."
FA067403-6115-4489-9ED0-2CF26FC2D299,0,FA067403-6115-4489-9ED0-2CF26FC2D299.png,0.7343515325241486,1,3.01,"","A single pink-hatched region outlined in black marking the planning direction area north of Westmarsh Drove Farm."
FDBC0FDC-D090-4778-A123-232EB71DF3C6,0,FDBC0FDC-D090-4778-A123-232EB71DF3C6.png,0.8128577804513613,1,2.92,"","Red shaded region indicating the Article 4 Direction area at Townsend Farm."
POLA4_AREA,1,POLA4_AREA.png,0.159841530084523,2,6.69,"","A large red-shaded region defining the boundary of the Polsham Conservation Area, spanning two main blocks divided by a "
REG_4:36880,2,REG_4_36880.png,0.20549475280345472,2,11.88,"","Traced the Conservation Area / Town Scheme boundary indicated by thick dotted lines, split into two primary disjoint pol"
SSA401,3,SSA401.png,0.8387373429978421,1,2.78,"","I have traced the red-outlined polygon indicating the Article 4 Direction site located adjacent to Beechwood Bonsai."
SSA402,4,SSA402.png,0.8166154954928722,1,3.66,"","A solid red line defining the Article 4 Direction boundary around fields and buildings at Blacklees Farm."
SSA403,0,SSA403.png,0.026890460791952713,1,4.45,"","A solid red line boundary encompassing a large area including Bobbington and an airfield (disused)."
SSA404,1,SSA404.png,0.8273045912524437,1,5.95,"","A solid red outline boundary enclosing a quadrilateral field site adjacent to a main road."
SSA405,2,SSA405.png,0.29960399148152206,1,2.88,"","Red solid outline marking the curtilage of the dwellinghouse at Clive View."
SSA407,3,SSA407.png,0.9574806258099399,1,3.02,"","Thick black solid outline defining the Article 4 Direction application area at Feiashill Road, encompassing major field "
SSA408,4,SSA408.png,0.8600013077878768,1,2.61,"","A single black solid line outlining the curtilage of the dwelling at Greenacres."
SSA409,0,SSA409.png,0.08319578070915873,1,6.63,"","Red solid outline defining the Article 4 Direction area at Himley Park."
SSA410,1,SSA410.png,0.8103006803716438,1,2.91,"","A single triangular area outlined in red, located to the north-west of the building labeled Kevina."
SSA412,2,SSA412.png,0.3751587463351155,1,3.55,"","A solid red outline traces a triangular plot of land east of the main road junction, north of Vicarage Lane."
SSA414,3,SSA414.png,0.30276199678821647,1,4.23,"","Red solid outline marking the site boundary of a field east of Hinksford Lane."
SSA415,4,SSA415.png,0.9035935305291196,1,3.97,"","A thick black solid outline defining the Article 4 direction area south of the River Penk and north of Penkridge village"
SSA416,0,SSA416.png,0.31196792551122016,1,2.75,"","Red solid outline marking 'THE SITE' boundary for the Article 4 Direction at Wilderhope."
